game_id,game_date,team_name,venue,batting_avg,earn_run_ave,game_outcome,game_number,visiting_team,home_team
43556-BAL@TOR-1,4/1/2019,Toronto Blue Jays,Home,0.194,4,lose,1,Baltimore Orioles,Toronto Blue Jays
43556-BOS@OAK-1,4/1/2019,Oakland Athletics,Home,0.265,0,win,1,Boston Red Sox,Oakland Athletics
43556-BOS@OAK-1,4/1/2019,Boston Red Sox,Road,0.138,6.75,lose,1,Boston Red Sox,Oakland Athletics
43556-CHC@ATL-1,4/1/2019,Atlanta Braves,Home,0.333,0,win,1,Chicago Cubs,Atlanta Braves
43556-CHC@ATL-1,4/1/2019,Chicago Cubs,Road,0.273,2.25,lose,1,Chicago Cubs,Atlanta Braves
43556-CHW@CLE-1,4/1/2019,Cleveland Indians,Home,0.25,2,win,1,Chicago White Sox,Cleveland Indians
43556-CHW@CLE-1,4/1/2019,Chicago White Sox,Road,0.1,4.5,lose,1,Chicago White Sox,Cleveland Indians
43556-COL@TBR-1,4/1/2019,Tampa Bay Rays,Home,0.281,1,win,1,Colorado Rockies,Tampa Bay Rays
43556-COL@TBR-1,4/1/2019,Colorado Rockies,Road,0.188,7.88,lose,1,Colorado Rockies,Tampa Bay Rays
43556-DET@NYY-1,4/1/2019,New York Yankees,Home,0.172,0,win,1,Detroit Tigers,New York Yankees
43556-DET@NYY-1,4/1/2019,Detroit Tigers,Road,0.069,2.25,lose,1,Detroit Tigers,New York Yankees
43556-HOU@TEX-1,4/1/2019,Houston Astros,Road,0.242,1,win,1,Houston Astros,Texas Rangers
43556-HOU@TEX-1,4/1/2019,Texas Rangers,Home,0.071,2,lose,1,Houston Astros,Texas Rangers
43556-LAA@SEA-1,4/1/2019,Seattle Mariners,Home,0.303,1,win,1,Los Angeles Angels,Seattle Mariners
43556-LAA@SEA-1,4/1/2019,Los Angeles Angels,Road,0.229,6.75,lose,1,Los Angeles Angels,Seattle Mariners
43556-MIL@CIN-1,4/1/2019,Milwaukee Brewers,Road,0.306,3,win,1,Milwaukee Brewers,Cincinnati Reds
43556-MIL@CIN-1,4/1/2019,Cincinnati Reds,Home,0.235,4,lose,1,Milwaukee Brewers,Cincinnati Reds
43556-NYM@MIA-1,4/1/2019,New York Mets,Road,0.278,1,win,1,New York Mets,Miami Marlins
43556-NYM@MIA-1,4/1/2019,Miami Marlins,Home,0.257,7,lose,1,New York Mets,Miami Marlins
43556-SFG@LAD-1,4/1/2019,San Francisco Giants,Road,0.25,2,win,1,San Francisco Giants,Los Angeles Dodgers
43556-SFG@LAD-1,4/1/2019,Los Angeles Dodgers,Home,0.219,4,lose,1,San Francisco Giants,Los Angeles Dodgers
43556-STL@PIT-1,4/1/2019,St. Louis Cardinals,Road,0.2,4.09,win,1,St. Louis Cardinals,Pittsburgh Pirates
43556-STL@PIT-1,4/1/2019,Pittsburgh Pirates,Home,0.171,3.27,lose,1,St. Louis Cardinals,Pittsburgh Pirates
43557-ARI@SDP-1,4/2/2019,Arizona Diamondbacks,Road,0.341,5,win,1,Arizona Diamondbacks,San Diego Padres
43557-ARI@SDP-1,4/2/2019,San Diego Padres,Home,0.289,8,lose,1,Arizona Diamondbacks,San Diego Padres
43557-BAL@TOR-1,4/2/2019,Baltimore Orioles,Road,0.294,1,win,1,Baltimore Orioles,Toronto Blue Jays
43557-BAL@TOR-1,4/2/2019,Toronto Blue Jays,Home,0.194,2,lose,1,Baltimore Orioles,Toronto Blue Jays
43557-BOS@OAK-1,4/2/2019,Oakland Athletics,Home,0.115,0,win,1,Boston Red Sox,Oakland Athletics
43557-BOS@OAK-1,4/2/2019,Boston Red Sox,Road,0.212,1.12,lose,1,Boston Red Sox,Oakland Athletics
43557-COL@TBR-1,4/2/2019,Tampa Bay Rays,Home,0.242,0,win,1,Colorado Rockies,Tampa Bay Rays
43557-COL@TBR-1,4/2/2019,Colorado Rockies,Road,0.074,3.38,lose,1,Colorado Rockies,Tampa Bay Rays
43557-DET@NYY-1,4/2/2019,Detroit Tigers,Road,0.297,1,win,1,Detroit Tigers,New York Yankees
43557-DET@NYY-1,4/2/2019,New York Yankees,Home,0.194,3,lose,1,Detroit Tigers,New York Yankees
43557-HOU@TEX-1,4/2/2019,Texas Rangers,Home,0.281,4,win,1,Houston Astros,Texas Rangers
43557-HOU@TEX-1,4/2/2019,Houston Astros,Road,0.353,6.75,lose,1,Houston Astros,Texas Rangers
43557-LAA@SEA-1,4/2/2019,Seattle Mariners,Home,0.172,1,win,1,Los Angeles Angels,Seattle Mariners
43557-LAA@SEA-1,4/2/2019,Los Angeles Angels,Road,0.129,2.25,lose,1,Los Angeles Angels,Seattle Mariners
43557-MIL@CIN-1,4/2/2019,Milwaukee Brewers,Road,0.212,3,win,1,Milwaukee Brewers,Cincinnati Reds
43557-MIL@CIN-1,4/2/2019,Cincinnati Reds,Home,0.129,4,lose,1,Milwaukee Brewers,Cincinnati Reds
43557-MIN@KCR-1,4/2/2019,Minnesota Twins,Road,0.293,3.6,win,1,Minnesota Twins,Kansas City Royals
43557-MIN@KCR-1,4/2/2019,Kansas City Royals,Home,0.27,4.5,lose,1,Minnesota Twins,Kansas City Royals
43557-NYM@MIA-1,4/2/2019,New York Mets,Road,0.237,5,win,1,New York Mets,Miami Marlins
43557-NYM@MIA-1,4/2/2019,Miami Marlins,Home,0.39,6,lose,1,New York Mets,Miami Marlins
43557-PHI@WSN-1,4/2/2019,Philadelphia Phillies,Road,0.341,2,win,1,Philadelphia Phillies,Washington Nationals
43557-PHI@WSN-1,4/2/2019,Washington Nationals,Home,0.212,7,lose,1,Philadelphia Phillies,Washington Nationals
43557-SFG@LAD-1,4/2/2019,Los Angeles Dodgers,Home,0.233,4,win,1,San Francisco Giants,Los Angeles Dodgers
43557-SFG@LAD-1,4/2/2019,San Francisco Giants,Road,0.265,1.12,lose,1,San Francisco Giants,Los Angeles Dodgers
43558-ARI@SDP-1,4/3/2019,San Diego Padres,Home,0.179,1,win,1,Arizona Diamondbacks,San Diego Padres
43558-ARI@SDP-1,4/3/2019,Arizona Diamondbacks,Road,0.212,4.5,lose,1,Arizona Diamondbacks,San Diego Padres
43558-BAL@TOR-1,4/3/2019,Toronto Blue Jays,Home,0.323,3,win,1,Baltimore Orioles,Toronto Blue Jays
43558-BAL@TOR-1,4/3/2019,Baltimore Orioles,Road,0.194,4.5,lose,1,Baltimore Orioles,Toronto Blue Jays
43558-BOS@OAK-1,4/3/2019,Boston Red Sox,Road,0.25,3,win,1,Boston Red Sox,Oakland Athletics
43558-BOS@OAK-1,4/3/2019,Oakland Athletics,Home,0.156,5,lose,1,Boston Red Sox,Oakland Athletics
43558-CHC@ATL-1,4/3/2019,Atlanta Braves,Home,0.267,4,win,1,Chicago Cubs,Atlanta Braves
43558-CHC@ATL-1,4/3/2019,Chicago Cubs,Road,0.343,6.75,lose,1,Chicago Cubs,Atlanta Braves
43558-CHW@CLE-1,4/3/2019,Chicago White Sox,Road,0.325,2,win,1,Chicago White Sox,Cleveland Indians
43558-CHW@CLE-1,4/3/2019,Cleveland Indians,Home,0.147,6,lose,1,Chicago White Sox,Cleveland Indians
